range,mean,count,start,end
0.007131148350126362,0.10041354043934972,1.0,6,7
0.005233796538028357,0.6558989038711032,1.0,40,41
0.004372099248976191,0.8496424083233315,1.0,52,53
0.005117713309138239,0.8947438028758622,1.0,55,56
0.014883870668870008,0.2292117869148736,1.0,71,72
0.007271443175685566,0.32060549628068513,1.0,77,78
0.01071493927171363,0.3654825515369585,1.0,80,81
0.018816137961927548,0.4603205222080201,1.0,86,87
0.0030112774465285153,0.8077594497654219,1.0,108,109
0.015115121765355677,0.8828548293981644,1.0,113,114
0.9050133316778745,0.46890259705256515,1.0,58,117
0.003945701095820264,0.08170795525819778,1.0,123,124
0.008279237749116208,0.6249629657989795,1.0,152,153
0.006304009896041584,0.024812598837098084,1.0,175,176
0.00521508930939113,0.10612729802351789,1.0,184,186
0.005528647769686493,0.11988886526833634,1.0,187,188
0.021276135873110613,0.14514635679229623,1.0,189,190
0.009392434172133812,0.16552553937363884,1.0,192,193
0.0056084422680166,0.25371382179359847,1.0,202,203
0.003123316542705701,0.27349653563450066,1.0,204,205
0.004745685761481655,0.3169659185558562,1.0,209,210
0.0018201525342209646,0.33315665149567547,1.0,211,212
0.013110453799800303,0.34768552002762876,1.0,214,215
0.00244074900356539,0.3710396820647729,1.0,216,217
0.006670951467588893,0.44204628620328384,1.0,223,224
0.009933340642686694,0.45234737107315054,1.0,225,227
0.004373407745928204,0.5103060914867568,1.0,232,233
0.010729855675280175,0.5773570265370946,1.0,239,240
0.004380305723202471,0.6171802119489109,1.0,244,245
0.006698847260470209,0.650464701792622,1.0,247,249
0.016585362075001497,0.7010406983486279,1.0,254,255
0.0020471447651343455,0.7199273013599401,1.0,257,258
0.0050819053459447705,0.7473372893568282,1.0,260,261
0.005440118546042649,0.7665432828050416,1.0,262,264
0.0007045500103007862,0.8595907692119265,1.0,272,273
0.00583144389539314,0.8769527215315884,1.0,275,276
0.0021891672218505853,0.9133146807445831,1.0,278,279
0.008133225735664662,0.958921474956183,1.0,285,286
0.009108915733429868,0.985028271926757,1.0,287,289
0.0031285746557783156,1.0201630830462909,1.0,292,293
0.023097716259242285,1.0545976996147433,1.0,296,297
0.0054184873373110815,0.046211902234984975,1.0,302,303
0.017466313182151777,0.09861443721543643,1.0,305,306
0.0208436523065281,0.23857196583127765,1.0,315,316
0.003764960601792322,0.542777583968735,1.0,335,336
0.009975146438484406,0.6582338491078084,1.0,342,343
0.007645197059977904,0.762738257608518,1.0,348,349
0.016955102229084917,0.3853340334748873,1.0,378,379
0.019313402165353453,0.0436239700818252,1.0,414,415
0.015989206855417604,0.05535593587271073,1.0,417,418
0.004817964565911027,0.06269156085493538,1.0,420,421
0.005296141882988117,0.08891369297805565,1.0,422,424
0.0045739951184623345,0.09482756333369105,1.0,425,426
0.017283980880609784,0.11913081950208457,1.0,428,429
0.009679706145557854,0.1595487406395028,1.0,433,434
0.0007433446456709125,0.17566517965970663,1.0,436,437
0.006235287261171313,0.2103914339615101,1.0,440,441
0.015549454718013306,0.21540670337977036,1.0,443,444
0.002801404607294472,0.22963422004345863,1.0,445,446
0.004928009852670112,0.25988360448581205,1.0,448,450
0.0178212731862325,0.25695246873518546,1.0,447,451
0.014644154175393387,0.2911777708159635,1.0,453,454
0.013856491972640994,0.30314880608799377,1.0,456,457
0.003557163184925771,0.33372724804909304,1.0,459,460
0.014378911760279889,0.34295365178850656,1.0,462,463
0.014091450166829278,0.36523342508153367,1.0,465,466
0.014501492601616484,0.3776315579948588,1.0,467,469
0.0012157924666702513,0.39412817188679655,1.0,470,471
0.006843061690670449,0.40829869649093486,1.0,472,473
0.009522410643233337,0.4266972592911858,1.0,474,475
0.0019734915156885413,0.4373855439966142,1.0,476,477
0.0010867505948071732,0.46396413533804626,1.0,480,481
0.002250776237947949,0.46450416087580604,1.0,479,482
0.002954575257491099,0.4929194486459599,1.0,484,485
0.004876451735617571,0.5007120999461594,1.0,486,487
0.0027907939931030024,0.5351254698229195,1.0,491,492
0.005352213733629596,0.5734253711737549,1.0,496,497
0.011839560553167927,0.6008790205984351,1.0,501,502
0.004336058210350102,0.6223215800605411,1.0,505,506
0.014935118748338083,0.658902432349886,1.0,510,511
0.0018643528306092616,0.7009394247952057,1.0,515,516
0.006372847497748579,0.7127073782668516,1.0,518,519
0.015341610357479052,0.7595974413272829,1.0,525,526
0.006886985377819177,0.7751857848991128,1.0,528,529
0.0027236574251037204,0.818527695220527,1.0,533,534
0.006489990747930885,0.8364085250338824,1.0,536,537
0.008656102088713258,0.8572758937638718,1.0,539,540
0.01282462448172994,0.8943287214898394,1.0,546,547
0.00324744330436999,0.9153172021851734,1.0,549,550
0.0010178128948680198,0.9462544355008868,1.0,554,555
0.010015108634635062,0.9783667152273279,1.0,557,558
0.3803787323130984,0.8025502671641374,1.0,504,559
0.001045243233828895,0.013309916628635936,1.0,562,563
0.007160448435901086,0.05727668890442214,1.0,565,566
0.004847826713122866,0.11593855739393498,1.0,568,569
